Date: 2017/04/13 14:11:27.608 | Message: [16459396] | Index taks was started.
Date: 2017/04/13 14:11:27.617 | Message: [16459396] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 26125035 | Price: 894 | Keywords: 070501 2240 ?????? ?? ????i?.?i?.?????? ?i??.??? ? ????????. 05.2016?. ??? 2 ?i? 18.05.2016?. ???.2-167/1 ?i? 25.02.2016?. ? ?.?.???-149,00
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 02125289 | Price: 792 | Keywords: 2201160 2282 ?????? ?? ??????? ?? ????i?????? ?i?i????? ?????? ??i???? ???  ??? 2 ?i? 17.05.16?. ???.2-52 ?i? 16.03.16?. ???-132,00.
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 02011901 | Price: 2376 | Keywords: 6561040  2281  ???????? ?????? ??????? ???  ???.? 2-94 ??? 15.03.2016 ??? 2 ??? 23.05.2016  ??? - 396,00
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 02011901 | Price: 501 | Keywords: 6561040  2281  ???????? ?????? ??????? ???  ???.? 1-08 ??? 04.04.2016 ??? 2 ??? 23.05.2016  ??? - 417,50
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 05398295 | Price: 792 | Keywords: 6541030  2281  ?? ???. ?????? ????. ??? ? 2??. 16?.  ?-??  ???. ?2-162 ??? 22.02.16?., ???? ?2 ??? 19.05.16?.  ???-132,00???.
Date: 2017/04/13 14:12:18.874 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3570
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | Parsed transaction count: 127
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | There are 127 invalid transactions:
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 25884905 | Price: 29452 | Keywords: #xxxx,20#, #?????. ????? ?? ????? ?????? - ????????? ?????? ?????????#, #??.????. ?xxxx/xxxx/xxxx/8 ??? 12.01.16 ?.#, #??? ???#
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 25884905 | Price: 14726 | Keywords: #xxxx,60#, #?????. ????? ?? ????? ?????? - ????????? ?????? ?????????#, #??.????. ?xxxx/xxxx/xxxx/9 ??? 12.01.16 ?.#, #??? ???#
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 37393782 | Price: 429198 | Keywords: 2501200 2730  ?i???.?..???. ?????. ??. ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?..??.????.???. ?796/12", ?/? 2 ?i? 11.01.16,18?i? 25.01.16 . ??? ???.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 05417035 | Price: 2376 | Keywords: 6541030 2281 ?? ?i?.????i? ??i?.??? ??.???.?2-79 ?i? 22,02,16, ????1 ?i? 22,02,16 ? ?.?. ???-396,00.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 37393782 | Price: 429198 | Keywords: 2501200 2730  ?i???. ????.???. ????. ??. ????. ??????????.  ?? "??? ??.i ???.???. ????,??i ???..??.????.???. ?796/12, ?/? 2 ?i?11.01.16,18 ?i?25.01.16. ??? ???.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 26125035 | Price: 894 | Keywords: #070501#,#2240#,#?????? ?? ????i?.?i?.?????? ?i??.??? ? ????????.#,#02.2016?.#,#??? 1 ?i? 25.02.2016?.#,#???.2-167/1 ?i? 25.02.2016?.#,#? ?.?.???-149,00#
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 26125035 | Price: 1584 | Keywords: #070501#,#2240#,#?????? ?? ????i?.?i?.?????? ??i?.??? #,#02.2016?.#,#??? 1 ?i? 25.02.2016?.#,#???.2-167 ?i? 25.02.2016?.#,#? ?.?.???-264,00#
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 05417228 | Price: 792 | Keywords: #6541030#,#2281#,#????? ??  ????i????? ?i?.?????? ????#,#?????i? ? 2-158 ?i? 25.02.16?.?? ????? ?1 ?i? 26.02.16?.#,#? ?.?.???-132,00#
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 05398295 | Price: 792 | Keywords: 6541030  2281  ?? ???. ?????? ????. ??? ? 1??. 16?.  ?-??  ???. ?2-162 ??? 22.02.16?., ???? ?1 ??? 09.03.16?.  ???-132,00???.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 34477817 | Price: 4752 | Keywords: * 0301060 2240 ????.?i?.?????.??i??.??? ??. ???? ?1 ?i? 15.03.16?.???.?2-230 ?i? 14.03.16 ?.   ? ?.?. ???-792,00???.
