Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192454 | Price: 37912 | Keywords: 090201  2730  ? ?? ??? ?? 02.16 ?.  ??.??.?1 ??? 01.01.16 ?. ?? ????.????? 20 ??? 11.01.05 (?? ???????)  ???-.63,19 1513012151_04831603290319245418 (018)
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192454 | Price: 270706 | Keywords: 090405 2730 ? ?? ??? ?? 02.16?.  ??.??.?1 ??? 01.01.16  ?? ????.????? ?20 ???11.01.05.(?? ???????) ???- .451,18 547,01 1513242151_04831603290319245415 (015)
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192454 | Price: 26302 | Keywords: 090405 2730 ? ?? ??? ?? 01.16?.  ??.??.?1 ??? 01.01.16  ?? ????.????? ?20 ???11.01.05.(?? ???????) ???- 43,84  1513242151_04831603310319245413 (013)
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 836719 | Keywords: 090405 2730 ???. ????.2016?. ????????? ????? ?20-11.01.05?.?? ???????"?".???150 -15.01.16 ??? ??.-01.03.16 ?.?????? ??7 ??? 04.04.2016?. ? ?.?.???-1394,53.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 3069 | Keywords: 090215 2730 ??????  ??/??. 2016?. ????????? ??????20-11.01.05?.?? ???????"?" ??.? 125-15.01.16?.??.01.02.16?.??????? 3???? 04.04.16? ???.???- 5,12 ??.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 336 | Keywords: 090215 2730 ??????  ?????.?????. 2016?. ????????? ??????20-11.01.05?.?? ???????"?" ??.?125--15.01.16?.??.01.02.16?.??????? 8???? 04.04.16? ???.???- 5,60 ??.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 1024 | Keywords: 090215 2730 ??????  ?????.????. 2016?. ????????? ??????20-11.01.05?.?? ???????"?" ??.? 125--15.01.16?.??.01.02.16?.??????? 3???? 04.04.16? ???.???- 1,71??.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 1900874 | Keywords: 090405 2730 ???. ????.2016?. ????????? ????? ?20-11.01.05?.?? ???????"?".???150 -15.01.16 ??? ??.-01.02.16 ?.?????? ?71 ??? 04.04.2016?. ? ?.?.???-3168,12.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 1302 | Keywords: 090215 2730 ??????  ????. 2016?. ????????? ??????20-11.01.05?.?? ???????"?" ??.? 125-15.01.16?.??.01.02.16?.??????? 4???? 04.04.16? ???.???- 21,70 ??.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 8556 | Keywords: 090215 2730 ?????? ????. 2016?. ????????? ??????20-11.01.05?.?? ???????"?" ??.? 125-15.01.16?.??.01.02.16?.??????? 1???? 04.04.16? ???.???- 14,26??.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192460 | Price: 54743 | Keywords: 090412 2730 ???.???.????????? ??? ?????? ????? ?? 12.15? ??.??? 53 ??? 26.02.16?. ???????33???05.04.16 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 193 | Keywords: 070201 2272 ????????? ? ?? ????. ???. ?????. ?? ?????????????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ???(16.03.16) ?411 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 2756 | Keywords: 070201 2240 ???????. ??????? ???????? ?? ????? ?????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ??? (16.03.16) ?412 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 14401 | Keywords: 070201 2272 ???????. ??????? ???????? ?? ?????????????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ??? (16.03.16) ?411 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 1259 | Keywords: 070201 2273 ????????? ? ?? ????. ???. ?????. ?? ?????????????? ?? ???????? 2016 ???. (22.12.11) ?12/02-4721-??, ???.??.(18.01.16) ?8,???(16.03.16) ?415 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 14047 | Keywords: 070201 2240 ????????? ? ?? ????. ???. ???????? ?? ????? ?????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ???(16.03.16) ?412 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 4163 | Keywords: 070201 2273 ???????. ?? ?????????????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??. (18.01.16) ?5, ??? (06.04.16) ?625 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 175135 | Keywords: 070201 2240 ??????? ????? ?? ???????? 2016 ???. (22.12.11) ?12/02-4721-??, ???. ????? (04.04.16) ?2, ??? (06.04.16) ?622 ???-291,89.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 3068 | Keywords: 070201 2240 ???????. ?? ?????????????? ??????? ?? ???????? 2016 ???. (22.12.11) ?12/02-4721-??, ???.??.(18.01.16) ?8, ??? (06.04.16) ?624 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 34304 | Keywords: 070201 2240 ???????. ?? ?????????????? ??????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ??? (06.04.16) ?623 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 464 | Keywords: 070201 2240 ???????. ?? ?????????????? ??????? ?? ???????? 2016 ???. (22.12.11) ?12/02-4721-??, ???.??.(04.04.16) ?9, ??? (06.04.16) ?624 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 6088 | Keywords: 070201 2240 ???????. ?? ?????????????? ??????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(04.04.16) ?6, ??? (06.04.16) ?623 ??? ???.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 198654 | Keywords: 070201 2240 ??????? ????? ?? ???????? 2016 ???. (01.09.09) ?12/02-3585-??, ???. ????? (11.02.16) ?1, ??? (06.04.16) ?621 ???-3310,90.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 124712 | Keywords: 070201 2240 ??????? ????? ?? ???????? 2016 ???. (22.12.11) ?12/02-4721-??, ???. ????? (11.02.16) ?1, ??? (06.04.16) ?622 ???-207,85.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 112189 | Keywords: 070201 2240 ??????? ????? ?? ???????? 2016 ???. (01.09.09) ?12/02-3585-??, ???. ????? (04.04.16) ?2, ??? (06.04.16) ?621 ???-1869,82.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 24450096 | Price: 4446 | Keywords: 070201 2271 ???????. ??????????????? (???????. ?? ????? 2016) ???. (01.09.10) ?12/02-3585-??, ???.??. (18.01.16) ?5, ??? (13.04.16) ?632 ??? ???.
Date: 2017/04/13 14:16:50.419 | Message: [02070743] | PayerId: 24450096 | Price: 54596 | Keywords: 070201 2273 ????????? ? ?? ???????. ?? ?????????????? ?? ???????? 2016 ???. (01.09.10) ?12/02-3585-??, ???.??. (04.04.16) ?6, ??? (06.04.16) ?625 ??? ???.
