Date: 2017/04/13 13:22:19.152 | Message: 300 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:30.628 | Message: 297 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:33.103 | Message: 290 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:34.748 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:36.990 | Message: 296 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:38.769 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:41.735 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:46.988 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:50.386 | Message: 299 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:54.594 | Message: 288 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:58.576 | Message: 297 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 37414016 | Price: 850 | Keywords: 2501200 2730 ???????.???? ??????? ???????i? ?????? ??  27.04.16 ??? ???,???.110. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 39420875 | Price: 676363 | Keywords: 3507010 2240 ???. ????. ???????????, ????. ????????, ?.? 349-? ??? 16.05.16?., ??? ? 349-? ??? 16.05.16?., ???.? 129/2016-214 ??? 13.05.16?., ? ?.?. ???-1127,27 <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295449 | Price: 4459 | Keywords: 33295449 2201150 2282 ?i??????????? ?-T ?? ??i???? 2016?  ??? ?-T <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33935089 | Price: 8146 | Keywords: 2201150 2282  ?i??????????? ??? ??i??? ?????????i ????????ii ? ??????? ?? ?????? ????i??? ?? ??i???? 2016 ?.  . <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295386 | Price: 2548 | Keywords: 2201150  2282  ????????????? ???   ?? ??????? ?-?? 2016?. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 34492201 | Price: 4649 | Keywords: * 101 34492201  2201160  2282 ?i??????????? ??? ?? 4 ?-?? 2016?. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 34492238 | Price: 25714 | Keywords: 2201160  2282 ?i??????????? ??? ?????????? ??i?????????? ??.?????????? ????????i? ? ??????? ?? ?????? ????i??? ?? ??i???? 2016?. ???? 25010200. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 37414016 | Price: 1000 | Keywords: 090405 2730 ????.???.??.???.?? ??.????.???.?????.????.? ???.?-?i ?.????? ????.?? ??? "?".?/??59/17.05.16,???/20.05.16 ? ?.?.???-166,67. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 19023989 | Price: 7250 | Keywords: 2507030 2282 ?????? ?? ????.?? I???.2015-2016?.?.???'?????  ???.?29 ?i? 04.11.2014 ?., ????38 ?i? 12.05.2016? ??? ??? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 36285763 | Price: 4800 | Keywords: 2201040 2281 ?i??????????? ??? ?? 04.2016?. ??i??? ???  ?i? 02.12.2010?.? 2755-VI ??? ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 37414016 | Price: 850 | Keywords: 2501200 2730 ???????.???? ??????? ???????i? ?????? ??  25.05.16 ???????03 ??? ???,???.110. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 36285763 | Price: 6585 | Keywords: 2201040 2281 ?i??????????? ??? ?? 04.2016?. ??i??? ???  ?i? 02.12.2010?.? 2755-VI ??? ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295386 | Price: 3000 | Keywords: 2201150  2282  ????????????? ???  ???????? ?? ??????? 2016?. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 00019413 | Price: 17400 | Keywords: 2201080  2730  ?????? ??? ?? ???????-??????? - 6 ???., ????????? ??????i? ?i? 01.06.2016?. ?2, ????????? ??? ?i? 27.08.08 ?757 <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 35077585 | Price: 10966 | Keywords: * 110 35077585   ?i??????????? ??? ?????????? ??i?????????? ??  ??i???? 2016 ??. ?????. ????????i? ??? ???   2201150 2282 <br/>
